,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1684829260.8875399,39705.0,11069.239,16710.0,3225.551,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829260.8875399,1684829291.45271
1684829291.4537513,38988.0,9923.171,20040.0,4742.439,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829291.4537513,1684829321.5679038
1684829321.5690434,39137.0,10582.513,19300.0,3815.769,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829321.5690434,1684829352.1525655
1684829352.1536493,40068.0,10376.329,18960.0,3848.669,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829352.1536493,1684829382.7101686
1684829382.7113755,39778.0,11112.499,16860.0,3203.148,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829382.7113755,1684829412.8149617
1684829412.8166554,39531.0,11068.881,17300.0,3259.483,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829412.8166554,1684829443.3781936
1684829443.3793957,39732.0,10999.79,17290.0,3287.073,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829443.3793957,1684829473.4744413
1684829473.4755437,40103.0,10986.102,16700.0,3160.984,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829473.4755437,1684829503.5499103
1684829503.5512605,39634.0,10823.925,18530.0,3589.144,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829503.5512605,1684829534.142106
1684829534.1431699,39683.0,10806.446,18370.0,3512.295,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829534.1431699,1684829564.7122881
1684829564.7135007,39383.0,10539.584,19220.0,3903.933,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829564.7135007,1684829594.773298
