,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1684726973.4880176,89327.0,0.117,0.448,0.087,"{'root--consul': 1.0, 'root--frontend': 0.9833333333333333, 'root--geo': 0.5166666666666667, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 0.05, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684726973.4880176,1684727003.5159736
1684727003.5164552,89327.0,0.117,0.428,0.122,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.4666666666666667, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684727003.5164552,1684727033.5518293
1684727033.5523405,89329.0,0.117,0.435,0.096,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.23333333333333334, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684727033.5523405,1684727063.579808
1684727063.580309,89327.0,0.118,0.45,0.115,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.2833333333333333, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684727063.580309,1684727093.609803
1684727093.6103077,34171.0,0.122,0.495,0.138,"{'root--consul': 0.3770491803278688, 'root--frontend': 0.3770491803278688, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.3770491803278688, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.3770491803278688, 'root--mongodb-geo': 0.36065573770491804, 'root--mongodb-profile': 0.39344262295081966, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684727093.6103077,1684727124.1599782
1684727467.8781223,89331.0,0.115,0.409,0.086,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 1.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.75, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 1.0, 'root--profile': 0.2833333333333333, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684727467.8781223,1684727497.9128494
1684727497.9133384,89327.0,0.118,0.441,0.107,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 1.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 1.0, 'root--profile': 0.48333333333333334, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.03333333333333333}",1684727497.9133384,1684727527.9528453
1684727527.953348,89326.0,0.116,0.41,0.087,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 1.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 1.0, 'root--profile': 0.16666666666666666, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.06666666666666667}",1684727527.953348,1684727557.9932473
1684727557.999168,80854.0,0.121,0.455,0.174,"{'root--consul': 0.0, 'root--frontend': 0.9166666666666666, 'root--geo': 0.0, 'root--jaeger': 0.9166666666666666, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.9166666666666666, 'root--profile': 0.5166666666666667, 'root--rate': 0.9166666666666666, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.03333333333333333}",1684727557.999168,1684727588.0341554
1684728277.4523876,89325.0,0.117,0.425,0.111,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 1.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.48333333333333334, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.31666666666666665}",1684728277.4523876,1684728307.4854474
